"id","country_id/id","code","name"
"state_city.res_country_state1","base.id","res_country_state1","Aceh"
"state_city.res_country_state10","base.id","res_country_state10","Jawa Barat"
"state_city.res_country_state11","base.id","res_country_state11","Jawa Tengah"
"state_city.res_country_state12","base.id","res_country_state12","Jawa Timur"
"state_city.res_country_state13","base.id","res_country_state13","Kalimantan Barat"
"state_city.res_country_state14","base.id","res_country_state14","Kalimantan Selatan"
"state_city.res_country_state15","base.id","res_country_state15","Kalimantan Tengah"
"state_city.res_country_state16","base.id","res_country_state16","Kalimantan Timur"
"state_city.res_country_state17","base.id","res_country_state17","Kalimantan Utara"
"state_city.res_country_state18","base.id","res_country_state18","Kepulauan Riau"
"state_city.res_country_state19","base.id","res_country_state19","Lampung"
"state_city.res_country_state2","base.id","res_country_state2","Bali"
"state_city.res_country_state20","base.id","res_country_state20","Maluku"
"state_city.res_country_state21","base.id","res_country_state21","Maluku Utara"
"state_city.res_country_state22","base.id","res_country_state22","Nusa Tenggara Barat (NTB)"
"state_city.res_country_state23","base.id","res_country_state23","Nusa Tenggara Timur (NTT)"
"state_city.res_country_state24","base.id","res_country_state24","Papua"
"state_city.res_country_state25","base.id","res_country_state25","Papua Barat"
"state_city.res_country_state26","base.id","res_country_state26","Riau"
"state_city.res_country_state27","base.id","res_country_state27","Sulawesi Barat"
"state_city.res_country_state28","base.id","res_country_state28","Sulawesi Selatan"
"state_city.res_country_state29","base.id","res_country_state29","Sulawesi Tengah"
"state_city.res_country_state3","base.id","res_country_state3","Bangka Belitung"
"state_city.res_country_state30","base.id","res_country_state30","Sulawesi Tenggara"
"state_city.res_country_state31","base.id","res_country_state31","Sulawesi Utara"
"state_city.res_country_state32","base.id","res_country_state32","Sumatera Barat"
"state_city.res_country_state33","base.id","res_country_state33","Sumatera Selatan"
"state_city.res_country_state34","base.id","res_country_state34","Sumatera Utara"
"state_city.res_country_state4","base.id","res_country_state4","Banten"
"state_city.res_country_state5","base.id","res_country_state5","Bengkulu"
"state_city.res_country_state6","base.id","res_country_state6","DI Yogyakarta"
"state_city.res_country_state7","base.id","res_country_state7","DKI Jakarta"
"state_city.res_country_state8","base.id","res_country_state8","Gorontalo"
"state_city.res_country_state9","base.id","res_country_state9","Jambi"
